,title,start_time,end_time,exercise_title,exercise_notes,set_index,set_type,weight_kg,reps,duration_seconds,day,month,year,m-y
0,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Bench Press (Barbell),,1,normal,60.0,8,,28,12,2023,12-2023
1,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Bench Press (Barbell),,2,normal,60.0,7,,28,12,2023,12-2023
2,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Bench Press (Barbell),,3,normal,57.5,7,,28,12,2023,12-2023
3,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Incline Bench Press (Barbell),,1,normal,45.0,12,,28,12,2023,12-2023
4,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Incline Bench Press (Barbell),,2,normal,45.0,11,,28,12,2023,12-2023
5,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Incline Bench Press (Barbell),,3,normal,45.0,11,,28,12,2023,12-2023
6,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Chest Dip,,1,normal,,12,,28,12,2023,12-2023
7,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Chest Dip,,2,normal,,11,,28,12,2023,12-2023
8,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Chest Dip,,3,normal,,11,,28,12,2023,12-2023
9,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Seated Shoulder Press (Machine),,1,normal,35.0,12,,28,12,2023,12-2023
10,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Seated Shoulder Press (Machine),,2,normal,35.0,12,,28,12,2023,12-2023
11,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Seated Shoulder Press (Machine),,3,normal,35.0,12,,28,12,2023,12-2023
12,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Lateral Raise (Cable),,1,normal,5.0,12,,28,12,2023,12-2023
13,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Lateral Raise (Cable),,2,normal,5.0,12,,28,12,2023,12-2023
14,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Lateral Raise (Cable),,3,normal,5.0,12,,28,12,2023,12-2023
15,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Triceps Pushdown,,1,normal,17.5,12,,28,12,2023,12-2023
16,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Triceps Pushdown,,2,normal,17.5,12,,28,12,2023,12-2023
17,Pecho-tríceps,2023-12-28 11:11:00,2023-12-28 12:24:00,Triceps Pushdown,,3,normal,17.5,12,,28,12,2023,12-2023
18,Espalda-Bíceps,2023-12-27 14:54:00,2023-12-27 16:04:00,Pull Up,,1,normal,,8,,27,12,2023,12-2023
19,Espalda-Bíceps,2023-12-27 14:54:00,2023-12-27 16:04:00,Pull Up,,2,normal,,7,,27,12,2023,12-2023
