title;start_time;end_time;description;exercise_title;exercise_notes;set_index;set_type;weight_kg;reps;distance_km;duration_seconds;rpe
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Bench Press (Barbell);;0;normal;60;8;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Bench Press (Barbell);;1;normal;60;7;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Bench Press (Barbell);;2;normal;57.5;7;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Incline Bench Press (Barbell);;0;normal;45;12;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Incline Bench Press (Barbell);;1;normal;45;11;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Incline Bench Press (Barbell);;2;normal;45;11;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Chest Dip;;0;normal;;12;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Chest Dip;;1;normal;;11;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Chest Dip;;2;normal;;11;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Seated Shoulder Press (Machine);;0;normal;35;12;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Seated Shoulder Press (Machine);;1;normal;35;12;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Seated Shoulder Press (Machine);;2;normal;35;12;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Lateral Raise (Cable);;0;normal;5;12;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Lateral Raise (Cable);;1;normal;5;12;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Lateral Raise (Cable);;2;normal;5;12;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Triceps Pushdown;;0;normal;17.5;12;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Triceps Pushdown;;1;normal;17.5;12;;;
Pecho-tríceps;28 Dec 2023, 11:11;28 Dec 2023, 12:24;;Triceps Pushdown;;2;normal;17.5;12;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Pull Up;;0;normal;;8;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Pull Up;;1;normal;;7;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Pull Up;;2;normal;;5;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Chin Up;;0;normal;;6;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Chin Up;;1;normal;;5;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Chin Up;;2;normal;;5;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Inverted Row;;3;normal;;10;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Inverted Row;;4;normal;;9;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Inverted Row;;5;normal;;9;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Lat Pulldown (Cable);;0;normal;50;12;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Chin Ups (Cable);;0;normal;55;12;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Seated Cable Row - Bar Grip;;0;normal;40;12;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Seated Cable Row - Bar Grip;;1;normal;40;12;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Seated Cable Row - Bar Grip;;2;normal;40;12;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Bicep Curl (Dumbbell);;0;normal;10;10;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Bicep Curl (Dumbbell);;1;normal;10;8;;;
Espalda-Bíceps;27 Dec 2023, 14:54;27 Dec 2023, 16:04;;Bicep Curl (Dumbbell);;2;normal;10;6;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Bench Press (Barbell);;0;normal;50;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Bench Press (Barbell);;1;normal;55;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Bench Press (Barbell);;2;normal;55;19;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Bench Press (Barbell);;3;normal;55;8;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Incline Bench Press (Barbell);;0;normal;45;11;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Incline Bench Press (Barbell);;1;normal;45;9;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Incline Bench Press (Barbell);;2;normal;45;8;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Cable Fly Crossovers;;0;normal;10;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Cable Fly Crossovers;;1;normal;10;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Cable Fly Crossovers;;2;normal;10;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Chest Dip;;0;normal;;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Chest Dip;;1;normal;;11;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Chest Dip;;2;normal;;11;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Seated Shoulder Press (Machine);;0;normal;35;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Seated Shoulder Press (Machine);;1;normal;35;8;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Seated Shoulder Press (Machine);;2;normal;35;10;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Lateral Raise (Cable);;0;normal;5;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Lateral Raise (Cable);;1;normal;5;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Lateral Raise (Cable);;2;normal;5;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Triceps Pushdown;;0;normal;17.5;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Triceps Pushdown;;1;normal;17.5;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Triceps Pushdown;;2;normal;17.5;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Cable Overhead (Extensión De Triceps);;0;normal;15;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Cable Overhead (Extensión De Triceps);;1;normal;15;12;;;
Pecho-tríceps;26 Dec 2023, 15:12;26 Dec 2023, 17:20;;Cable Overhead (Extensión De Triceps);;2;normal;15;10;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Bench Press (Barbell);;0;normal;55;12;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Bench Press (Barbell);;1;normal;55;12;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Bench Press (Barbell);;2;normal;55;10;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Incline Bench Press (Barbell);;0;normal;40;12;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Incline Bench Press (Barbell);;1;normal;40;12;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Incline Bench Press (Barbell);;2;normal;40;12;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Cable Fly Crossovers;;0;normal;10;12;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Cable Fly Crossovers;;1;normal;10;12;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Cable Fly Crossovers;;2;normal;10;12;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Chest Dip;;0;normal;;12;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Chest Dip;;1;normal;;11;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Chest Dip;;2;normal;;11;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Seated Shoulder Press (Machine);;0;normal;35;12;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Seated Shoulder Press (Machine);;1;normal;35;8;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Seated Shoulder Press (Machine);;2;normal;35;10;;;
Pecho-tríceps;22 Dec 2023, 11:02;22 Dec 2023, 12:37;;Lateral Raise (Cable);;0;normal;5;12;;;
